OBJECTID,GIS_ID,FEATURECODE,DESCRIPTION,CAPTUREYEAR,SHAPEAREA,SHAPELEN
22382,431265,1480,Sidewalk,1999-03-31T00:00:00.000Z,345.3688505,372.881110845725
22450,427891,1480,Sidewalk,1999-03-31T00:00:00.000Z,169.1178855,149.11296808198
22451,415004,1480,Sidewalk,1999-03-31T00:00:00.000Z,305.4589905,152.470548912451
22452,427892,1480,Sidewalk,1999-03-31T00:00:00.000Z,15.797592,18.0171775050417
22453,425294,1480,Sidewalk,1999-03-31T00:00:00.000Z,1173.112544,1137.75483230571
22454,424344,1480,Sidewalk,1999-03-31T00:00:00.000Z,0.699575,4.30218638276795
22455,426542,1480,Sidewalk,1999-03-31T00:00:00.000Z,114.6644065,142.520601420726
22456,415003,1480,Sidewalk,1999-03-31T00:00:00.000Z,652.703575,378.175262154789
22457,426147,1480,Sidewalk,1999-03-31T00:00:00.000Z,12.7057965,15.7391460547789
22458,426881,1480,Sidewalk,2005-04-04T00:00:00.000Z,321.708469,369.505301990387
22459,426146,1480,Sidewalk,1999-03-31T00:00:00.000Z,43.684909,65.7356692465041
22460,424345,1480,Sidewalk,1999-03-31T00:00:00.000Z,441.3334725,517.11459705176
22461,432212,1480,Sidewalk,1999-03-31T00:00:00.000Z,74.906079,92.4865075910041
22462,424339,1480,Sidewalk,1999-03-31T00:00:00.000Z,371.5130545,373.3011301201
22463,426145,1480,Sidewalk,1999-03-31T00:00:00.000Z,127.2505625,152.696726054212
22464,426882,1480,Sidewalk,1999-03-31T00:00:00.000Z,132.100061,147.996672711783
22465,431677,1480,Sidewalk,1999-03-31T00:00:00.000Z,117.7325055,82.3351680007488
22466,431676,1480,Sidewalk,1999-03-31T00:00:00.000Z,148.928537,138.176130792724
22467,426144,1480,Sidewalk,1999-03-31T00:00:00.000Z,131.8202035,151.975595930032
22393,431121,1480,Sidewalk,2005-04-04T00:00:00.000Z,256.432484,282.553083934693
22394,418904,1480,Sidewalk,1999-03-31T00:00:00.000Z,689.8630145,436.769773262293
22395,415722,1480,Sidewalk,1999-03-31T00:00:00.000Z,213.29205,161.543978696803
22396,425649,1480,Sidewalk,1999-03-31T00:00:00.000Z,260.1203405,369.976424890006
22397,418903,1480,Sidewalk,1999-03-31T00:00:00.000Z,299.5738165,224.743131166327
22398,419144,1480,Sidewalk,1999-03-31T00:00:00.000Z,1264.3827345,757.892119183258
22399,425702,1480,Sidewalk,1999-03-31T00:00:00.000Z,382.6128995,268.264251861143
22400,428317,1480,Sidewalk,1999-03-31T00:00:00.000Z,855.8882445,605.651609873063
22401,415721,1480,Sidewalk,2005-04-04T00:00:00.000Z,801.772841,539.540310094648
22402,428316,1480,Sidewalk,1999-03-31T00:00:00.000Z,108.531873,132.801512960544
22403,425678,1480,Sidewalk,1999-03-31T00:00:00.000Z,207.911457,382.452519287315
22404,430621,1480,Sidewalk,1999-03-31T00:00:00.000Z,222.640733,369.700906116953
22405,425701,1480,Sidewalk,1999-03-31T00:00:00.000Z,979.7789285,893.667089065315
22406,430502,1480,Sidewalk,1999-03-31T00:00:00.000Z,275.499441,392.691225352435
22407,419143,1480,Sidewalk,1999-03-31T00:00:00.000Z,1211.6102375,562.138732442601
22408,418275,1480,Sidewalk,1999-03-31T00:00:00.000Z,527.0504355,383.830303023225
22409,425700,1480,Sidewalk,1999-03-31T00:00:00.000Z,301.060528,236.515734995714
22410,430620,1480,Sidewalk,1999-03-31T00:00:00.000Z,253.003889,369.250821678748
22411,415720,1480,Sidewalk,1999-03-31T00:00:00.000Z,2062.8329085,1437.19838717035
22412,428315,1480,Sidewalk,1999-03-31T00:00:00.000Z,517.7819625,375.76279952459
22413,418274,1480,Sidewalk,1999-03-31T00:00:00.000Z,4775.8708055,1885.10288077473
22414,428314,1480,Sidewalk,1999-03-31T00:00:00.000Z,562.462402,602.623232286882
22415,428313,1480,Sidewalk,1999-03-31T00:00:00.000Z,240.406033,250.782265826892
22416,425699,1480,Sidewalk,1999-03-31T00:00:00.000Z,150.039812,204.282116406829
22417,431118,1480,Sidewalk,1999-03-31T00:00:00.000Z,548.280419,436.872240804837
22418,426120,1480,Sidewalk,1999-03-31T00:00:00.000Z,86.6628095,116.385597354689
22419,430619,1480,Sidewalk,1999-03-31T00:00:00.000Z,256.2368945,338.798408197264
22420,431119,1480,Sidewalk,1999-03-31T00:00:00.000Z,237.9470185,309.669709344432
22421,426119,1480,Sidewalk,1999-03-31T00:00:00.000Z,472.035803,449.669187709344
22422,426118,1480,Sidewalk,1999-03-31T00:00:00.000Z,172.9580465,169.132055051427
22423,425677,1480,Sidewalk,1999-03-31T00:00:00.000Z,206.946904,221.52208762239
22424,432198,1480,Sidewalk,1999-03-31T00:00:00.000Z,223.745847,233.989698651991
22425,428391,1480,Sidewalk,1999-03-31T00:00:00.000Z,10.512668,17.3707621543591
22426,431599,1480,Sidewalk,1999-03-31T00:00:00.000Z,40.1641115,48.6253836046287
22607,431451,1480,Sidewalk,1999-03-31T00:00:00.000Z,436.5996565,505.861184019566
22608,418050,1480,Sidewalk,1999-03-31T00:00:00.000Z,228.186875,120.853390724579
22609,426782,1480,Sidewalk,1999-03-31T00:00:00.000Z,359.8479235,219.268788656198
22610,426803,1480,Sidewalk,1999-03-31T00:00:00.000Z,129.520832,85.6950170381594
22611,415199,1480,Sidewalk,1999-03-31T00:00:00.000Z,117.940865,157.674035835679
22612,426610,1480,Sidewalk,1999-03-31T00:00:00.000Z,4.9178345,12.4898548714224
22613,425328,1480,Sidewalk,1999-03-31T00:00:00.000Z,27.420311,22.2937930530711
22614,415198,1480,Sidewalk,1999-03-31T00:00:00.000Z,168.997445,137.385654225177
22615,415197,1480,Sidewalk,1999-03-31T00:00:00.000Z,901.0571205,450.084876240465
22616,430671,1480,Sidewalk,1999-03-31T00:00:00.000Z,358.1427635,389.409476682763
22434,431598,1480,Sidewalk,1999-03-31T00:00:00.000Z,312.0587605,350.857179239539
22435,425818,1480,Sidewalk,1999-03-31T00:00:00.000Z,861.721508,1000.75835411294
22436,424987,1480,Sidewalk,1999-03-31T00:00:00.000Z,440.406929,545.623889148526
22437,415365,1480,Sidewalk,2005-04-04T00:00:00.000Z,22.264401,24.5502825009843
22438,419336,1480,Sidewalk,1999-03-31T00:00:00.000Z,154.5996745,131.624696465191
22439,415364,1480,Sidewalk,2005-04-04T00:00:00.000Z,2965.634355,509.542463067561
22440,426596,1480,Sidewalk,1999-03-31T00:00:00.000Z,1614.972401,1722.49329467945
22441,430495,1480,Sidewalk,1999-03-31T00:00:00.000Z,407.4517195,482.326299792368
22442,430954,1480,Sidewalk,1999-03-31T00:00:00.000Z,28.9798335,38.6805679421811
22443,414865,1480,Sidewalk,1999-03-31T00:00:00.000Z,77.64126,73.8616452780287
22444,430953,1480,Sidewalk,1999-03-31T00:00:00.000Z,10.4234315,12.9879270759482
22445,427026,1480,Sidewalk,1999-03-31T00:00:00.000Z,193.013655,95.7931958969557
22446,419837,1480,Sidewalk,1999-03-31T00:00:00.000Z,94.2704445,100.60817490858
22447,415290,1480,Sidewalk,2005-04-04T00:00:00.000Z,280.71957,179.247369746101
22448,424838,1480,Sidewalk,1999-03-31T00:00:00.000Z,0.8662185,5.27256549374731
22449,425457,1480,Sidewalk,1999-03-31T00:00:00.000Z,503.6100395,534.967867155206
22468,431340,1480,Sidewalk,1999-03-31T00:00:00.000Z,139.9044785,152.146113537919
22469,431339,1480,Sidewalk,1999-03-31T00:00:00.000Z,140.956824,152.80383911027
22470,425892,1480,Sidewalk,1999-03-31T00:00:00.000Z,267.3866945,281.625334093547
22471,430926,1480,Sidewalk,1999-03-31T00:00:00.000Z,17.847506,25.0281812771023
22472,425891,1480,Sidewalk,1999-03-31T00:00:00.000Z,133.4875395,150.671338723042
22551,428715,1480,Sidewalk,1999-03-31T00:00:00.000Z,90.4885055,131.137390230626
22552,416417,1480,Sidewalk,1999-03-31T00:00:00.000Z,293.449107,242.640801734372
22553,425638,1480,Sidewalk,1999-03-31T00:00:00.000Z,259.90983,278.382586832022
22554,425179,1480,Sidewalk,1999-03-31T00:00:00.000Z,214.7142375,221.29382774607
22555,425637,1480,Sidewalk,1999-03-31T00:00:00.000Z,228.733235,249.957838799502
22556,418985,1480,Sidewalk,1999-03-31T00:00:00.000Z,685.79195,542.018342122865
22557,431469,1480,Sidewalk,1999-03-31T00:00:00.000Z,103.847987,129.949133601039
22558,419968,1481,Hidden Sidewalk,1999-03-31T00:00:00.000Z,16.173054,29.2182644256816
22559,416880,1480,Sidewalk,1999-03-31T00:00:00.000Z,6396.434294175,1602.96672243132
22560,426558,1480,Sidewalk,2005-04-04T00:00:00.000Z,64.0763425,78.7931762190048
22561,416884,1480,Sidewalk,2005-04-04T00:00:00.000Z,69.3605865,87.2295470132364
22562,416883,1480,Sidewalk,1999-03-31T00:00:00.000Z,55.70031,53.341484348839
22563,419969,1481,Hidden Sidewalk,1999-03-31T00:00:00.000Z,15.937552,29.1155352637617
22564,427576,1480,Sidewalk,1999-03-31T00:00:00.000Z,1197.01025,908.082774090944
22473,417476,1480,Sidewalk,1999-03-31T00:00:00.000Z,240.74885,195.670531408255
22474,426148,1480,Sidewalk,1999-03-31T00:00:00.000Z,261.0005955,337.972338379064
22475,424356,1480,Sidewalk,1999-03-31T00:00:00.000Z,469.5689465,344.484416038184
22476,431338,1480,Sidewalk,1999-03-31T00:00:00.000Z,88.985334,111.045947736707
22477,431337,1480,Sidewalk,1999-03-31T00:00:00.000Z,98.0936175,111.919524746686
22478,417475,1480,Sidewalk,1999-03-31T00:00:00.000Z,270.9559695,147.094976395458
22479,424967,1480,Sidewalk,1999-03-31T00:00:00.000Z,83.8628215,89.0815254559299
